Freq(MHz),Point,Lat,Lon,Elev(m),Pr(dBm)
100.00,AVG,30.90694,34.92554,517.0,-85.93
100.00,AVG,30.90694,34.93839,456.0,-86.00
100.00,AVG,30.90694,34.95125,448.0,-86.08
100.00,AVG,30.90694,34.96410,431.0,-86.15
100.00,AVG,30.90694,34.97695,465.0,-86.22
100.00,AVG,30.90694,34.98981,409.0,-86.29
100.00,AVG,30.90694,35.00266,368.0,-86.36
100.00,AVG,30.90694,35.01552,364.0,-86.43
100.00,AVG,30.90694,35.02837,390.0,-86.50
100.00,AVG,30.90694,35.04122,397.0,-86.57
100.00,AVG,30.90694,35.05408,374.0,-86.64
100.00,AVG,30.90694,35.06693,358.0,-86.70
100.00,AVG,30.90694,35.07979,415.0,-86.77
100.00,AVG,30.90694,35.09264,119.0,-87.16
100.00,AVG,30.90694,35.10549,388.0,-86.90
100.00,AVG,30.90694,35.11835,305.0,-86.96
100.00,AVG,30.90694,35.13120,213.0,-87.03
100.00,AVG,30.90694,35.14406,67.0,-87.43
100.00,AVG,30.90694,35.15691,49.0,-87.50
100.00,AVG,30.90694,35.16976,40.0,-87.56
100.00,AVG,30.90694,35.18262,-39.0,-87.89
100.00,AVG,30.90694,35.19547,-30.0,-89.17
100.00,AVG,30.90694,35.20833,-53.0,-92.74
100.00,AVG,30.90694,35.22118,1.0,-88.58
100.00,AVG,30.90694,35.23403,-18.0,-88.16
100.00,AVG,30.90694,35.24689,-93.0,-87.95
100.00,AVG,30.90694,35.25974,-125.0,-88.01
100.00,AVG,30.90694,35.27260,-189.0,-88.36
100.00,AVG,30.90694,35.28545,-203.0,-88.81
100.00,AVG,30.90694,35.29830,-238.0,-88.88
100.00,AVG,30.90694,35.31116,-238.0,-88.26
100.00,AVG,30.90694,35.32401,-272.0,-88.10
100.00,AVG,30.90694,35.33687,-250.0,-87.99
100.00,AVG,30.90694,35.34972,-314.0,-88.22
100.00,AVG,30.90694,35.36257,-246.0,-88.10
100.00,AVG,30.90694,35.37543,-268.0,-88.16
100.00,AVG,30.90694,35.38828,-300.0,-88.21
100.00,AVG,30.90694,35.40114,-307.0,-88.27
100.00,AVG,30.90694,35.41399,-343.0,-88.32
100.00,AVG,30.90694,35.42684,-332.0,-88.37
100.00,AVG,30.90694,35.43970,-332.0,-88.43
100.00,AVG,30.90694,35.45255,-313.0,-88.48
100.00,AVG,30.90694,35.46541,-249.0,-88.53
100.00,AVG,30.90694,35.47826,-177.0,-88.59
100.00,AVG,30.90694,35.49111,-12.0,-88.64
100.00,AVG,30.90694,35.50397,129.0,-88.69
100.00,AVG,30.90694,35.51682,9.0,-88.74
100.00,AVG,30.90694,35.52968,135.0,-88.79
100.00,AVG,30.90694,35.54253,453.0,-88.84
100.00,AVG,30.90694,35.55538,466.0,-88.89
100.00,AVG,30.90694,35.56824,439.0,-88.94
100.00,AVG,30.90694,35.58109,739.0,-88.99
100.00,AVG,30.90694,35.59395,851.0,-89.04
100.00,AVG,30.90694,35.60680,1078.0,-89.09
100.00,AVG,30.90694,35.61965,1192.0,-89.14
100.00,AVG,30.90694,35.63251,986.0,-89.19
100.00,AVG,30.90694,35.64536,944.0,-89.24
100.00,AVG,30.90694,35.65822,1028.0,-89.29
100.00,AVG,30.90694,35.67107,1095.0,-89.34
100.00,AVG,30.90694,35.68392,1094.0,-89.38
100.00,AVG,30.90694,35.69678,746.0,-89.43
100.00,AVG,30.90694,35.70963,733.0,-91.61
100.00,AVG,30.90694,35.72249,1011.0,-89.53
100.00,AVG,30.90694,35.73534,930.0,-89.57
100.00,AVG,30.90694,35.74819,787.0,-89.84
100.00,AVG,30.90694,35.76105,978.0,-89.67
100.00,AVG,30.90694,35.77390,885.0,-89.94
100.00,AVG,30.90694,35.78676,908.0,-89.99
100.00,AVG,30.90694,35.79961,917.0,-90.03
100.00,AVG,30.90694,35.81246,766.0,-90.37
100.00,AVG,30.90694,35.82532,865.0,-90.42
100.00,AVG,30.90694,35.83817,884.0,-89.94
100.00,AVG,30.90694,35.85103,669.0,-90.90
100.00,AVG,30.90694,35.86388,818.0,-90.03
100.00,AVG,30.90694,35.87673,935.0,-90.07
100.00,AVG,30.90694,35.88959,992.0,-90.12
100.00,AVG,30.90694,35.90244,930.0,-90.16
100.00,AVG,30.90694,35.91530,898.0,-90.20
100.00,AVG,30.90694,35.92815,915.0,-90.25
100.00,AVG,30.90694,35.94100,908.0,-90.29
100.00,AVG,30.90694,35.95386,914.0,-90.33
100.00,AVG,30.90694,35.96671,889.0,-90.38
100.00,AVG,30.90694,35.97957,884.0,-90.42
100.00,AVG,30.90694,35.99242,866.0,-90.46
100.00,AVG,30.90694,36.00527,893.0,-90.50
100.00,AVG,30.90694,36.01813,877.0,-90.55
100.00,AVG,30.90694,36.03098,863.0,-90.59
100.00,AVG,30.90694,36.04384,866.0,-90.63
100.00,AVG,30.90694,36.05669,876.0,-90.67
100.00,AVG,30.90694,36.06954,871.0,-90.71
100.00,AVG,30.90694,36.08240,857.0,-90.75
100.00,AVG,30.90694,36.09525,853.0,-90.79
100.00,AVG,30.90694,36.10811,868.0,-90.84
100.00,AVG,30.90694,36.12096,864.0,-90.88
100.00,AVG,30.90694,36.13381,0.0,-120.92
100.00,AVG,30.90694,36.14667,858.0,-90.96
100.00,AVG,30.90694,36.15952,875.0,-91.00
100.00,AVG,30.90694,36.17238,871.0,-91.04
100.00,AVG,30.90694,36.18523,869.0,-91.08
100.00,AVG,30.90694,36.19808,864.0,-91.12
100.00,AVG,30.90694,36.21094,867.0,-91.15
100.00,AVG,30.92666,34.92554,620.0,-85.88
100.00,AVG,30.92666,34.93839,483.0,-85.95
100.00,AVG,30.92666,34.95125,431.0,-86.02
100.00,AVG,30.92666,34.96410,454.0,-86.10
100.00,AVG,30.92666,34.97695,389.0,-86.17
100.00,AVG,30.92666,34.98981,371.0,-86.24
100.00,AVG,30.92666,35.00266,381.0,-86.31
100.00,AVG,30.92666,35.01552,440.0,-86.38
100.00,AVG,30.92666,35.02837,309.0,-86.45
100.00,AVG,30.92666,35.04122,368.0,-86.52
100.00,AVG,30.92666,35.05408,371.0,-86.59
100.00,AVG,30.92666,35.06693,252.0,-86.65
100.00,AVG,30.92666,35.07979,313.0,-86.72
100.00,AVG,30.92666,35.09264,383.0,-86.78
100.00,AVG,30.92666,35.10549,437.0,-86.85
100.00,AVG,30.92666,35.11835,449.0,-86.92
100.00,AVG,30.92666,35.13120,447.0,-86.98
100.00,AVG,30.92666,35.14406,445.0,-87.04
100.00,AVG,30.92666,35.15691,318.0,-87.11
100.00,AVG,30.92666,35.16976,334.0,-87.17
100.00,AVG,30.92666,35.18262,290.0,-87.23
100.00,AVG,30.92666,35.19547,77.0,-87.30
100.00,AVG,30.92666,35.20833,-108.0,-96.04
100.00,AVG,30.92666,35.22118,-34.0,-91.10
100.00,AVG,30.92666,35.23403,-127.0,-89.04
100.00,AVG,30.92666,35.24689,-156.0,-88.57
100.00,AVG,30.92666,35.25974,-189.0,-88.64
100.00,AVG,30.92666,35.27260,-172.0,-88.70
100.00,AVG,30.92666,35.28545,-232.0,-90.13
100.00,AVG,30.92666,35.29830,-202.0,-88.95
100.00,AVG,30.92666,35.31116,-223.0,-88.51
100.00,AVG,30.92666,35.32401,-250.0,-88.57
100.00,AVG,30.92666,35.33687,-255.0,-88.12
100.00,AVG,30.92666,35.34972,-265.0,-88.18
100.00,AVG,30.92666,35.36257,-271.0,-88.23
100.00,AVG,30.92666,35.37543,-341.0,-88.11
100.00,AVG,30.92666,35.38828,-353.0,-88.17
100.00,AVG,30.92666,35.40114,-354.0,-88.22
100.00,AVG,30.92666,35.41399,-360.0,-88.28
100.00,AVG,30.92666,35.42684,-351.0,-88.33
100.00,AVG,30.92666,35.43970,-339.0,-88.39
100.00,AVG,30.92666,35.45255,-320.0,-88.44
100.00,AVG,30.92666,35.46541,-279.0,-88.49
100.00,AVG,30.92666,35.47826,-207.0,-88.55
100.00,AVG,30.92666,35.49111,-138.0,-88.60
100.00,AVG,30.92666,35.50397,-50.0,-88.65
100.00,AVG,30.92666,35.51682,203.0,-88.70
100.00,AVG,30.92666,35.52968,245.0,-88.75
100.00,AVG,30.92666,35.54253,578.0,-88.80
100.00,AVG,30.92666,35.55538,874.0,-88.85
100.00,AVG,30.92666,35.56824,872.0,-88.90
100.00,AVG,30.92666,35.58109,897.0,-88.95
100.00,AVG,30.92666,35.59395,1011.0,-89.00
100.00,AVG,30.92666,35.60680,1019.0,-89.05
100.00,AVG,30.92666,35.61965,1078.0,-89.10
100.00,AVG,30.92666,35.63251,929.0,-89.15
100.00,AVG,30.92666,35.64536,793.0,-89.20
100.00,AVG,30.92666,35.65822,801.0,-89.47
100.00,AVG,30.92666,35.67107,906.0,-89.30
100.00,AVG,30.92666,35.68392,832.0,-89.35
100.00,AVG,30.92666,35.69678,805.0,-89.61
100.00,AVG,30.92666,35.70963,648.0,-91.38
100.00,AVG,30.92666,35.72249,649.0,-90.62
100.00,AVG,30.92666,35.73534,711.0,-90.05
100.00,AVG,30.92666,35.74819,740.0,-90.10
100.00,AVG,30.92666,35.76105,923.0,-90.15
100.00,AVG,30.92666,35.77390,801.0,-90.20
100.00,AVG,30.92666,35.78676,895.0,-90.24
100.00,AVG,30.92666,35.79961,610.0,-91.16
100.00,AVG,30.92666,35.81246,686.0,-91.22
100.00,AVG,30.92666,35.82532,660.0,-91.27
100.00,AVG,30.92666,35.83817,672.0,-91.32
100.00,AVG,30.92666,35.85103,848.0,-89.95
100.00,AVG,30.92666,35.86388,978.0,-90.00
100.00,AVG,30.92666,35.87673,1047.0,-90.04
100.00,AVG,30.92666,35.88959,996.0,-90.08
100.00,AVG,30.92666,35.90244,1003.0,-90.13
100.00,AVG,30.92666,35.91530,951.0,-90.17
100.00,AVG,30.92666,35.92815,965.0,-90.22
100.00,AVG,30.92666,35.94100,943.0,-90.26
100.00,AVG,30.92666,35.95386,911.0,-90.30
100.00,AVG,30.92666,35.96671,889.0,-90.35
100.00,AVG,30.92666,35.97957,871.0,-90.39
100.00,AVG,30.92666,35.99242,872.0,-90.43
100.00,AVG,30.92666,36.00527,871.0,-90.47
100.00,AVG,30.92666,36.01813,863.0,-90.52
100.00,AVG,30.92666,36.03098,862.0,-90.56
100.00,AVG,30.92666,36.04384,861.0,-90.60
100.00,AVG,30.92666,36.05669,854.0,-90.64
100.00,AVG,30.92666,36.06954,851.0,-90.68
100.00,AVG,30.92666,36.08240,856.0,-90.72
100.00,AVG,30.92666,36.09525,859.0,-90.77
100.00,AVG,30.92666,36.10811,866.0,-90.81
100.00,AVG,30.92666,36.12096,852.0,-90.85
100.00,AVG,30.92666,36.13381,856.0,-90.89
100.00,AVG,30.92666,36.14667,859.0,-90.93
100.00,AVG,30.92666,36.15952,851.0,-90.97
100.00,AVG,30.92666,36.17238,855.0,-91.01
100.00,AVG,30.92666,36.18523,859.0,-91.05
100.00,AVG,30.92666,36.19808,866.0,-91.09
100.00,AVG,30.92666,36.21094,866.0,-91.13
100.00,AVG,30.94639,34.92554,581.0,-85.82
100.00,AVG,30.94639,34.93839,612.0,-85.90
100.00,AVG,30.94639,34.95125,502.0,-85.97
100.00,AVG,30.94639,34.96410,426.0,-86.04
100.00,AVG,30.94639,34.97695,369.0,-86.12
100.00,AVG,30.94639,34.98981,355.0,-86.19
100.00,AVG,30.94639,35.00266,330.0,-86.26
100.00,AVG,30.94639,35.01552,316.0,-86.33
100.00,AVG,30.94639,35.02837,402.0,-86.40
100.00,AVG,30.94639,35.04122,277.0,-86.47
100.00,AVG,30.94639,35.05408,271.0,-86.54
100.00,AVG,30.94639,35.06693,323.0,-86.60
100.00,AVG,30.94639,35.07979,337.0,-86.67
100.00,AVG,30.94639,35.09264,345.0,-86.74
100.00,AVG,30.94639,35.10549,361.0,-86.80
100.00,AVG,30.94639,35.11835,411.0,-86.87
100.00,AVG,30.94639,35.13120,415.0,-86.93
100.00,AVG,30.94639,35.14406,476.0,-87.00
100.00,AVG,30.94639,35.15691,488.0,-87.06
100.00,AVG,30.94639,35.16976,135.0,-87.12
100.00,AVG,30.94639,35.18262,68.0,-87.19
100.00,AVG,30.94639,35.19547,35.0,-87.40
100.00,AVG,30.94639,35.20833,106.0,-87.31
100.00,AVG,30.94639,35.22118,-18.0,-93.22
100.00,AVG,30.94639,35.23403,-85.0,-90.93
100.00,AVG,30.94639,35.24689,-16.0,-89.08
100.00,AVG,30.94639,35.25974,-55.0,-89.15
100.00,AVG,30.94639,35.27260,-95.0,-89.23
100.00,AVG,30.94639,35.28545,-163.0,-90.12
100.00,AVG,30.94639,35.29830,-250.0,-89.52
100.00,AVG,30.94639,35.31116,-264.0,-90.27
100.00,AVG,30.94639,35.32401,-259.0,-88.94
100.00,AVG,30.94639,35.33687,-272.0,-88.60
100.00,AVG,30.94639,35.34972,-284.0,-88.36
100.00,AVG,30.94639,35.36257,-321.0,-88.42
100.00,AVG,30.94639,35.37543,-362.0,-88.07
100.00,AVG,30.94639,35.38828,-364.0,-88.13
100.00,AVG,30.94639,35.40114,-367.0,-88.18
100.00,AVG,30.94639,35.41399,-368.0,-88.24
100.00,AVG,30.94639,35.42684,-364.0,-88.29
100.00,AVG,30.94639,35.43970,-355.0,-88.35
100.00,AVG,30.94639,35.45255,-336.0,-88.40
100.00,AVG,30.94639,35.46541,-300.0,-88.45
100.00,AVG,30.94639,35.47826,-241.0,-88.51
100.00,AVG,30.94639,35.49111,-196.0,-88.56
100.00,AVG,30.94639,35.50397,-130.0,-88.61
100.00,AVG,30.94639,35.51682,98.0,-88.66
100.00,AVG,30.94639,35.52968,430.0,-88.71
100.00,AVG,30.94639,35.54253,766.0,-88.77
100.00,AVG,30.94639,35.55538,775.0,-88.82
100.00,AVG,30.94639,35.56824,719.0,-88.87
100.00,AVG,30.94639,35.58109,877.0,-88.92
100.00,AVG,30.94639,35.59395,982.0,-88.97
100.00,AVG,30.94639,35.60680,774.0,-89.02
100.00,AVG,30.94639,35.61965,750.0,-89.07
100.00,AVG,30.94639,35.63251,733.0,-89.33
100.00,AVG,30.94639,35.64536,612.0,-89.38
100.00,AVG,30.94639,35.65822,788.0,-89.48
100.00,AVG,30.94639,35.67107,684.0,-89.53
100.00,AVG,30.94639,35.68392,654.0,-89.58
100.00,AVG,30.94639,35.69678,742.0,-89.36
100.00,AVG,30.94639,35.70963,491.0,-90.96
100.00,AVG,30.94639,35.72249,665.0,-90.33
100.00,AVG,30.94639,35.73534,725.0,-90.38
100.00,AVG,30.94639,35.74819,521.0,-90.93
100.00,AVG,30.94639,35.76105,638.0,-90.98
100.00,AVG,30.94639,35.77390,479.0,-91.04
100.00,AVG,30.94639,35.78676,527.0,-91.09
100.00,AVG,30.94639,35.79961,668.0,-91.81
100.00,AVG,30.94639,35.81246,763.0,-91.19
100.00,AVG,30.94639,35.82532,777.0,-91.92
100.00,AVG,30.94639,35.83817,910.0,-89.87
100.00,AVG,30.94639,35.85103,1044.0,-89.92
100.00,AVG,30.94639,35.86388,982.0,-89.96
100.00,AVG,30.94639,35.87673,1021.0,-90.01
100.00,AVG,30.94639,35.88959,977.0,-90.05
100.00,AVG,30.94639,35.90244,952.0,-90.10
100.00,AVG,30.94639,35.91530,931.0,-90.14
100.00,AVG,30.94639,35.92815,936.0,-90.18
100.00,AVG,30.94639,35.94100,908.0,-90.23
100.00,AVG,30.94639,35.95386,888.0,-90.27
100.00,AVG,30.94639,35.96671,876.0,-90.31
100.00,AVG,30.94639,35.97957,865.0,-90.36
100.00,AVG,30.94639,35.99242,862.0,-90.40
100.00,AVG,30.94639,36.00527,861.0,-90.44
100.00,AVG,30.94639,36.01813,872.0,-90.49
100.00,AVG,30.94639,36.03098,865.0,-90.53
100.00,AVG,30.94639,36.04384,849.0,-90.57
100.00,AVG,30.94639,36.05669,858.0,-90.61
100.00,AVG,30.94639,36.06954,859.0,-90.65
100.00,AVG,30.94639,36.08240,855.0,-90.70
100.00,AVG,30.94639,36.09525,854.0,-90.74
100.00,AVG,30.94639,36.10811,845.0,-90.78
100.00,AVG,30.94639,36.12096,850.0,-90.82
100.00,AVG,30.94639,36.13381,867.0,-90.86
100.00,AVG,30.94639,36.14667,862.0,-90.90
100.00,AVG,30.94639,36.15952,865.0,-90.94
100.00,AVG,30.94639,36.17238,870.0,-90.98
100.00,AVG,30.94639,36.18523,863.0,-91.02
100.00,AVG,30.94639,36.19808,870.0,-91.06
100.00,AVG,30.94639,36.21094,872.0,-91.10
100.00,AVG,30.96612,34.92554,530.0,-85.77
100.00,AVG,30.96612,34.93839,553.0,-85.84
100.00,AVG,30.96612,34.95125,585.0,-85.92
100.00,AVG,30.96612,34.96410,606.0,-85.99
100.00,AVG,30.96612,34.97695,456.0,-86.07
100.00,AVG,30.96612,34.98981,429.0,-86.14
100.00,AVG,30.96612,35.00266,378.0,-86.21
100.00,AVG,30.96612,35.01552,356.0,-86.28
100.00,AVG,30.96612,35.02837,358.0,-86.35
100.00,AVG,30.96612,35.04122,356.0,-86.42
100.00,AVG,30.96612,35.05408,339.0,-86.49
100.00,AVG,30.96612,35.06693,339.0,-86.55
100.00,AVG,30.96612,35.07979,349.0,-86.62
100.00,AVG,30.96612,35.09264,356.0,-86.69
100.00,AVG,30.96612,35.10549,345.0,-86.76
100.00,AVG,30.96612,35.11835,371.0,-86.82
100.00,AVG,30.96612,35.13120,382.0,-86.89
100.00,AVG,30.96612,35.14406,430.0,-86.95
100.00,AVG,30.96612,35.15691,452.0,-87.01
100.00,AVG,30.96612,35.16976,418.0,-87.08
100.00,AVG,30.96612,35.18262,75.0,-87.30
100.00,AVG,30.96612,35.19547,47.0,-87.20
100.00,AVG,30.96612,35.20833,17.0,-87.27
100.00,AVG,30.96612,35.22118,318.0,-87.33
100.00,AVG,30.96612,35.23403,142.0,-87.39
100.00,AVG,30.96612,35.24689,-6.0,-89.12
100.00,AVG,30.96612,35.25974,-15.0,-88.82
100.00,AVG,30.96612,35.27260,-82.0,-90.02
100.00,AVG,30.96612,35.28545,-87.0,-89.57
100.00,AVG,30.96612,35.29830,-197.0,-89.34
100.00,AVG,30.96612,35.31116,-246.0,-90.25
100.00,AVG,30.96612,35.32401,-299.0,-90.32
100.00,AVG,30.96612,35.33687,-274.0,-89.09
100.00,AVG,30.96612,35.34972,-313.0,-88.63
100.00,AVG,30.96612,35.36257,-377.0,-89.70
100.00,AVG,30.96612,35.37543,-389.0,-88.75
100.00,AVG,30.96612,35.38828,-382.0,-88.09
100.00,AVG,30.96612,35.40114,-375.0,-88.14
100.00,AVG,30.96612,35.41399,-375.0,-88.20
100.00,AVG,30.96612,35.42684,-379.0,-88.25
100.00,AVG,30.96612,35.43970,-382.0,-88.31
100.00,AVG,30.96612,35.45255,-359.0,-88.36
100.00,AVG,30.96612,35.46541,-341.0,-88.42
100.00,AVG,30.96612,35.47826,-284.0,-88.47
100.00,AVG,30.96612,35.49111,-172.0,-88.52
100.00,AVG,30.96612,35.50397,-48.0,-88.57
100.00,AVG,30.96612,35.51682,-97.0,-88.63
100.00,AVG,30.96612,35.52968,341.0,-88.68
100.00,AVG,30.96612,35.54253,669.0,-88.73
100.00,AVG,30.96612,35.55538,651.0,-88.78
100.00,AVG,30.96612,35.56824,533.0,-88.83
100.00,AVG,30.96612,35.58109,583.0,-88.88
100.00,AVG,30.96612,35.59395,565.0,-88.93
100.00,AVG,30.96612,35.60680,583.0,-88.98
100.00,AVG,30.96612,35.61965,523.0,-89.03
100.00,AVG,30.96612,35.63251,624.0,-89.34
100.00,AVG,30.96612,35.64536,392.0,-89.73
100.00,AVG,30.96612,35.65822,716.0,-89.50
100.00,AVG,30.96612,35.67107,583.0,-90.29
100.00,AVG,30.96612,35.68392,405.0,-91.38
100.00,AVG,30.96612,35.69678,386.0,-91.44
100.00,AVG,30.96612,35.70963,557.0,-90.45
100.00,AVG,30.96612,35.72249,412.0,-91.45
100.00,AVG,30.96612,35.73534,461.0,-91.51
100.00,AVG,30.96612,35.74819,480.0,-91.57
100.00,AVG,30.96612,35.76105,550.0,-91.62
100.00,AVG,30.96612,35.77390,643.0,-91.68
100.00,AVG,30.96612,35.78676,799.0,-91.74
100.00,AVG,30.96612,35.79961,1037.0,-89.70
100.00,AVG,30.96612,35.81246,924.0,-89.75
100.00,AVG,30.96612,35.82532,895.0,-89.80
100.00,AVG,30.96612,35.83817,1028.0,-89.84
100.00,AVG,30.96612,35.85103,1000.0,-89.89
100.00,AVG,30.96612,35.86388,1024.0,-89.93
100.00,AVG,30.96612,35.87673,975.0,-89.98
100.00,AVG,30.96612,35.88959,967.0,-90.02
100.00,AVG,30.96612,35.90244,955.0,-90.07
100.00,AVG,30.96612,35.91530,918.0,-90.11
100.00,AVG,30.96612,35.92815,911.0,-90.15
100.00,AVG,30.96612,35.94100,895.0,-90.20
100.00,AVG,30.96612,35.95386,885.0,-90.24
100.00,AVG,30.96612,35.96671,874.0,-90.28
100.00,AVG,30.96612,35.97957,866.0,-90.33
100.00,AVG,30.96612,35.99242,862.0,-90.37
100.00,AVG,30.96612,36.00527,857.0,-90.41
100.00,AVG,30.96612,36.01813,852.0,-90.46
100.00,AVG,30.96612,36.03098,851.0,-90.50
100.00,AVG,30.96612,36.04384,862.0,-90.54
100.00,AVG,30.96612,36.05669,848.0,-90.58
100.00,AVG,30.96612,36.06954,846.0,-90.62
100.00,AVG,30.96612,36.08240,850.0,-90.67
100.00,AVG,30.96612,36.09525,850.0,-90.71
100.00,AVG,30.96612,36.10811,854.0,-90.75
100.00,AVG,30.96612,36.12096,868.0,-90.79
100.00,AVG,30.96612,36.13381,866.0,-90.83
100.00,AVG,30.96612,36.14667,874.0,-90.87
100.00,AVG,30.96612,36.15952,878.0,-90.91
100.00,AVG,30.96612,36.17238,878.0,-90.95
100.00,AVG,30.96612,36.18523,878.0,-90.99
100.00,AVG,30.96612,36.19808,879.0,-91.03
100.00,AVG,30.96612,36.21094,878.0,-91.07
100.00,AVG,30.98584,34.92554,492.0,-85.72
100.00,AVG,30.98584,34.93839,503.0,-85.79
100.00,AVG,30.98584,34.95125,516.0,-85.87
100.00,AVG,30.98584,34.96410,534.0,-85.94
100.00,AVG,30.98584,34.97695,599.0,-86.01
100.00,AVG,30.98584,34.98981,636.0,-86.09
100.00,AVG,30.98584,35.00266,538.0,-86.16
100.00,AVG,30.98584,35.01552,604.0,-86.23
100.00,AVG,30.98584,35.02837,548.0,-86.30
100.00,AVG,30.98584,35.04122,418.0,-86.37
100.00,AVG,30.98584,35.05408,388.0,-86.44
100.00,AVG,30.98584,35.06693,379.0,-86.51
100.00,AVG,30.98584,35.07979,385.0,-86.57
100.00,AVG,30.98584,35.09264,378.0,-86.64
100.00,AVG,30.98584,35.10549,401.0,-86.71
100.00,AVG,30.98584,35.11835,407.0,-86.77
100.00,AVG,30.98584,35.13120,399.0,-86.84
100.00,AVG,30.98584,35.14406,432.0,-86.90
100.00,AVG,30.98584,35.15691,422.0,-86.97
100.00,AVG,30.98584,35.16976,468.0,-87.03
100.00,AVG,30.98584,35.18262,396.0,-87.10
100.00,AVG,30.98584,35.19547,117.0,-87.16
100.00,AVG,30.98584,35.20833,122.0,-87.22
100.00,AVG,30.98584,35.22118,341.0,-87.28
100.00,AVG,30.98584,35.23403,272.0,-87.34
100.00,AVG,30.98584,35.24689,217.0,-87.41
100.00,AVG,30.98584,35.25974,11.0,-87.47
100.00,AVG,30.98584,35.27260,-36.0,-90.99
100.00,AVG,30.98584,35.28545,-45.0,-90.38
100.00,AVG,30.98584,35.29830,-66.0,-89.47
100.00,AVG,30.98584,35.31116,-245.0,-91.49
100.00,AVG,30.98584,35.32401,-287.0,-91.57
100.00,AVG,30.98584,35.33687,-311.0,-90.38
100.00,AVG,30.98584,35.34972,-346.0,-89.60
100.00,AVG,30.98584,35.36257,-382.0,-89.67
100.00,AVG,30.98584,35.37543,-389.0,-88.72
100.00,AVG,30.98584,35.38828,-389.0,-88.05
100.00,AVG,30.98584,35.40114,-389.0,-88.10
100.00,AVG,30.98584,35.41399,-389.0,-88.16
100.00,AVG,30.98584,35.42684,-383.0,-88.21
100.00,AVG,30.98584,35.43970,-383.0,-88.27
100.00,AVG,30.98584,35.45255,-382.0,-88.32
100.00,AVG,30.98584,35.46541,-364.0,-88.38
100.00,AVG,30.98584,35.47826,-339.0,-88.43
100.00,AVG,30.98584,35.49111,-141.0,-88.48
100.00,AVG,30.98584,35.50397,81.0,-88.54
100.00,AVG,30.98584,35.51682,234.0,-88.59
100.00,AVG,30.98584,35.52968,393.0,-88.64
100.00,AVG,30.98584,35.54253,575.0,-88.69
100.00,AVG,30.98584,35.55538,291.0,-88.74
100.00,AVG,30.98584,35.56824,482.0,-88.79
100.00,AVG,30.98584,35.58109,90.0,-88.85
100.00,AVG,30.98584,35.59395,231.0,-88.90
100.00,AVG,30.98584,35.60680,83.0,-88.95
100.00,AVG,30.98584,35.61965,169.0,-89.39
100.00,AVG,30.98584,35.63251,198.0,-91.74
100.00,AVG,30.98584,35.64536,171.0,-91.58
100.00,AVG,30.98584,35.65822,258.0,-91.65
100.00,AVG,30.98584,35.67107,280.0,-91.27
100.00,AVG,30.98584,35.68392,543.0,-90.16
100.00,AVG,30.98584,35.69678,537.0,-90.13
100.00,AVG,30.98584,35.70963,597.0,-90.98
100.00,AVG,30.98584,35.72249,806.0,-90.12
100.00,AVG,30.98584,35.73534,860.0,-90.33
100.00,AVG,30.98584,35.74819,878.0,-90.53
100.00,AVG,30.98584,35.76105,926.0,-89.53
100.00,AVG,30.98584,35.77390,1109.0,-89.58
100.00,AVG,30.98584,35.78676,1087.0,-89.62
100.00,AVG,30.98584,35.79961,1083.0,-89.67
100.00,AVG,30.98584,35.81246,1073.0,-89.72
100.00,AVG,30.98584,35.82532,1079.0,-89.76
100.00,AVG,30.98584,35.83817,1073.0,-89.81
100.00,AVG,30.98584,35.85103,1036.0,-89.85
100.00,AVG,30.98584,35.86388,1019.0,-89.90
100.00,AVG,30.98584,35.87673,953.0,-89.94
100.00,AVG,30.98584,35.88959,954.0,-89.99
100.00,AVG,30.98584,35.90244,922.0,-90.03
100.00,AVG,30.98584,35.91530,908.0,-90.08
100.00,AVG,30.98584,35.92815,899.0,-90.12
100.00,AVG,30.98584,35.94100,891.0,-90.17
100.00,AVG,30.98584,35.95386,884.0,-90.21
100.00,AVG,30.98584,35.96671,878.0,-90.25
100.00,AVG,30.98584,35.97957,869.0,-90.30
100.00,AVG,30.98584,35.99242,862.0,-90.34
100.00,AVG,30.98584,36.00527,866.0,-90.38
100.00,AVG,30.98584,36.01813,847.0,-90.43
100.00,AVG,30.98584,36.03098,852.0,-90.47
100.00,AVG,30.98584,36.04384,847.0,-90.51
100.00,AVG,30.98584,36.05669,854.0,-90.55
100.00,AVG,30.98584,36.06954,862.0,-90.60
100.00,AVG,30.98584,36.08240,855.0,-90.64
100.00,AVG,30.98584,36.09525,853.0,-90.68
100.00,AVG,30.98584,36.10811,874.0,-90.72
100.00,AVG,30.98584,36.12096,885.0,-90.76
100.00,AVG,30.98584,36.13381,876.0,-90.80
100.00,AVG,30.98584,36.14667,875.0,-90.84
100.00,AVG,30.98584,36.15952,880.0,-90.89
100.00,AVG,30.98584,36.17238,882.0,-90.93
100.00,AVG,30.98584,36.18523,890.0,-90.97
100.00,AVG,30.98584,36.19808,888.0,-91.01
100.00,AVG,30.98584,36.21094,880.0,-91.05
100.00,AVG,31.00557,34.92554,501.0,-85.67
100.00,AVG,31.00557,34.93839,493.0,-85.74
100.00,AVG,31.00557,34.95125,513.0,-85.82
100.00,AVG,31.00557,34.96410,528.0,-85.89
100.00,AVG,31.00557,34.97695,537.0,-85.97
100.00,AVG,31.00557,34.98981,564.0,-86.04
100.00,AVG,31.00557,35.00266,601.0,-86.11
